MATCH;HOME;AWAY;HOME_SCORE;AWAY_SCORE;DIFF
1;Fluminense br;sa Al-Hilal;2.249999999999952;1.571428571428576;0.68
2;Paris S-G fr;de Bayern Munich;-0.5185185185185182;2.4814814814815023;-3.00
3;Real Madrid es;de Dortmund;1.571428571428565;2.2500000000000515;-0.68
4;Palmeiras br;eng Chelsea;1.4814814814814774;2.481481481481481;-1.00
